部門	國碼	店內碼	品名
A09	4716349008282 		新扣式小集合K-828
A09	4716349070715 		小集合K-707-1
A15	4716349012029 		積木籃 K-1202
A09	4710367400028 		3M通氣膠帶(紙盒)
A02	4901331006616 		日本貝印經濟型安全修毛刀-L型
A10	3474370016317 		飛龍極細修正液-藍瓶 ZL31-WTN
A10	3474371026018 		飛龍萬能速乾修正液-藍瓶 ZL1-WTN/12
A10	3474370026729 		飛龍萬能型極細修正筆 ZL72/12
A16	4711109908246 		舒妃活氧力子髮雕200g葉綠素
A16	4711109908239 		舒妃活氧力子髮雕200g淡雅型
A01	8991380232148 		萊雅完美淨白光采再現嫩白潔面露 100ml
A16	4710076615287 		美吾髮快速護髮染髮霜4號-自然栗
A16	4710076615270 		美吾髮快速護髮染髮霜5號-深栗
A16	4710076615263 		美吾髮快速護髮染髮霜6號-自然褐
A16	4710076615256 		美吾髮快速護髮染髮霜7號-自然黑褐
A12	4710088411570 		統一來一客杯麵71g-京燉肉骨
A12	4710088414045 		統一來一客杯麵63g*3入-鮮蝦魚板
A12	4710088414052 		統一來一客杯麵65g*3入-牛肉蔬菜
A12	4710088414076 		統一來一客杯麵67g*3入-韓式泡菜
A12	4710088412966 		統一阿Q桶麵(紅椒牛肉)101g
A12	4710088412201 		統一滿漢大餐碗麵(蔥燒牛肉)192g
A12	4710088412218 		統一滿漢大餐碗麵(珍味牛肉)187g
A12	4710088412089 		統一滿漢大餐碗麵(麻辣鍋牛肉)204g
A12	4710088414243 		統一阿Q桶麵(韓式泡菜)102g
A09	4716349080622 		小集合K-806B
A09	4716349080646 		小集合K-806D
A15	4712864553030 		LS-303雙層花彩浴帽
A15	4712864552019 		LS-201A彩點透氣浴帽
A10	4717385645486 		9尺單色錫箔條3色  GTX-1413
A10	4711863872807 		6吋英文字牌GTX-0914
A10	4711863902122 		9公分松果加飾品吊飾3款 GTX-3270
A12	8851019410142 		12)格力高百琪草莓棒40g
A12	8851019410135 		12)格力高百琪巧克力棒40g
A10	4711863872821 		3吋電鍍樹頂星2色GTX#0918
A12	4710994850012 		專宇漢堡糖105g
A12	4710543212018 		奇多香酥棒22g-家常起司
A12	4710543214012 		奇多香酥棒55g-家常起司
A09	4710731000519 		花仙子定量香氛罐-玉蘭香300ml
A10	8999002511381 		永備碳鋅電池-3號-16入
A10	8888021100648 		永備碳鋅電池-4號-16入
A09	4711084213106 		奇偉固體鞋油45ml-黑色
A09	4710038850862 		毛寶洗衣槽專用去污劑300g*3入
A20	4714421801554 		阿喜羅C片 60粒/支
A20	4714421801554 		阿喜羅C片 60粒/支
A12	93682268 		Maltesers麥提莎巧克力40g
A12	4710088414397 		統一阿Q桶麵102g*3入-韓式泡菜
A12	8850425001319 		雙盟CRECO酥棒(牛奶)100g
A12	4710247000263 		可口脆笛酥80g-巧克力
A12	4710247000270 		可口脆笛酥80g-草莓
A09	4710367401605 		3M舒適繃帶20片
A01	4005808801046 		妮維雅霜150ml
A01	4005808890507 		妮維雅輕柔潤膚霜200ml
A09	9300647788691 		歐樂B超滑牙線
A09	4710186064050 		泡舒天然肥皂160g*5入
